Format_Name,Standardized_Format_Name,Format_Type
"assembler source, Non-ISO extended-ASCII text, with CRLF line terminators",Assembler Source,executable
"assembler source, UTF-8 Unicode text, with CRLF line terminators",Assembler Source,executable
Asymetrix Toolbook File,Asymetrix Toolbook File,design
Audio Decision List,Audio Decision List,audio
Audio Interchange File Format,Audio Interchange File Format,audio
Audio Interchange File Format (compressed),Audio Interchange File Format,audio
Audio/Video Interleaved Format,Audio/Video Interleaved Format,video
AVI,Audio/Video Interleaved Format,video
BDAV,Blu-ray,video
Binary File,Binary File,application
Blu-ray Clip info,Blu-ray,video
Blu-ray Clip info / Blu-ray Clip info,Blu-ray,video
Blu-ray Index,Blu-ray,video
Blu-ray Index / Blu-ray Index,Blu-ray,video
Blu-ray Movie object,Blu-ray,video
Blu-ray Playlist,Blu-ray,video
"C source, ASCII text",C source,executable
"C source, ASCII text, with CRLF line terminators",C source,executable
"C source, ASCII text, with very long lines",C source,executable
"C source, ASCII text, with very long lines, with CRLF line terminators",C source,executable
"C source, ISO-8859 text, with CRLF line terminators",C source,executable
"C++ source, ASCII text, with CRLF line terminators",C++ source,executable
"C++ source, ASCII text, with very long lines, with CRLF line terminators",C++ source,executable
"C++ source, ISO-8859 text, with CRLF line terminators",C++ source,executable
"C++ source, ISO-8859 text, with very long lines, with CRLF line terminators",C++ source,executable
"C++ source, Non-ISO extended-ASCII text, with CRLF line terminators",C++ source,executable
Cascading Style Sheet,CSS,structured_text
CD Audio,CD Audio,audio
CD-ROM/XA (eXtended Architecture),CD-ROM/XA (eXtended Architecture),application
CHM,Microsoft Compiled HTML Help,application
CLIPPER COFF executable (VAX #) not stripped,CLIPPER COFF executable,executable
"COFF DSP21k static object, stripped",COFF DSP21k static object,application
Comma-Separated Values (CSV),CSV,text
CorelDraw Drawing,CorelDraw,design
CorelDraw Pattern,CorelDraw,design
CR2 EXIF,Canon Raw EXIF,image
cue,Cue Sheet,application
Curses screen image,Curses screen image,image
D64 Image,D64 Image,image
dat,Dat,text
DBase 3 data file (1392574560 records),DBase Database,database
DBase 3 data file (1392574602 records),DBase Database,database
DBase 3 data file with memo(s) (120833716 records),DBase Database,database
DBase 3 index file,DBase Database,database
dBASE Database,DBase Database,database
dBASE for Windows database,DBase Database,database
DFONT,DFONT,application
"diff output, ASCII text, with CRLF line terminators",Diff Output,text
"diff output, ASCII text, with very long lines, with CRLF line terminators",Diff Output,text
DOCX,Microsoft Word,text
"DOS batch file, ASCII text, with CRLF line terminators",DOS batch file,executable
"DOS floppy 1440k, x86 hard disk boot sector",DOS floppy,application
DOS/Windows executable,DOS/Windows executable,executable
DOT,Microsoft Word,text
DPX,Digital Moving Picture Exchange Bitmap,image
DV,Digital Video,video
DVD data file and backup data file,DVD,video
Dyalog APL component file version 0 .0,Dyalog APL component file,executable
Embedded OpenType (EOT),Embedded OpenType,application
empty,Empty,application
Encapsulated PostScript File Format,Encapsulated PostScript File Format,design
EPS,Encapsulated PostScript File Format,design
EPS EXIF,Encapsulated PostScript File Format,design
ESRI Arc/Info Binary Grid,ESRI,geographic_data
ESRI Arc/View ShapeFile,ESRI,geographic_data
ESRI Arc/View Shapefile Index,ESRI,geographic_data
ESRI Shapefile version 0 length 40874 type Null Shape,ESRI,geographic_data
ESRI Shapefile version 0 length 83617808 type Null Shape,ESRI,geographic_data
ESRI Spatial Index File,ESRI,geographic_data
Extended Metafile,Extended Metafile,application
Extensible Hypertext Markup Language,XHTML,structured_text
Extensible Markup Language,XML,structured_text
FileMaker Pro Database,FileMaker Pro Database,database
First Choice database,PFS: First Choice Database,database
FLA,Macromedia Flash,image
Flash Video (FLV),Macromedia Flash,video
"FORTRAN program, ASCII text, with very long lines, with CRLF line terminators",Fortran,executable
"FORTRAN program, ISO-8859 text, with CRLF line terminators",Fortran,executable
FoxPro Compound Index File,FoxPro Database,database
FoxPro Database,FoxPro Database,database
FPX,Kodak FlashPix Image,image
Geographic Tagged Image File Format (GeoTIFF),GeoTIFF,geographic_data
GLS_BINARY_LSB_FIRST,GLS_BINARY_LSB_FIRST,application
Graphics Interchange Format,Graphics Interchange Format,image
GZIP Format,GZIP Format,archive
header for PowerPC PEF executable,PowerPC PEF executable,executable
Hewlett Packard AdvanceWrite Text File,Hewlett Packard AdvanceWrite Text File,text
HTML Frameset,HTML,structured_text
HTML Strict,HTML,structured_text
HTML Transitional,HTML,structured_text
HTTrack Website Copier File,HTTrack Website Copier File,web_archive
Hypertext Markup Language,HTML,structured_text
IBM DisplayWrite Revisable Form Text File,IBM DisplayWrite,text
Icon file format,Icon file format,application
ICS,Internet Calendar and Scheduling format,text
INDD,Adobe InDesign Document,design
InstallShield Uninstall Script,InstallShield,application
InstallShield Z archive Data,InstallShield,application
Interleaf Document,Interleaf Document,design
Internet Explorer cache file version Ver 3.2,Internet Explorer cache file,application
Internet Explorer cache file version Ver 5.2,Internet Explorer cache file,application
ISO 9660 CD-ROM filesystem data,ISO 9660 CD-ROM filesystem data,application
"ISO Media, MPEG v4 system, version 1",ISO Media,video
Java Archive Format,Java Archive Format,archive
JavaScript file,JavaScript file,executable
JPEG,JPEG,image
JPEG 2000 JP2,JP2,image
JPEG EXIF,JPEG,image
JPEG File Interchange Format,JPEG,image
JPEG image data,JPEG,image
"JPEG image data, baseline, precision 0, 4360x450",JPEG,image
"JPEG image data, baseline, precision 0, 4360x480",JPEG,image
"JPEG image data, baseline, precision 0, 4360x576",JPEG,image
"JVT NAL sequence, H.264 video @ L 2",H264 Video,video
"LaTeX document, ASCII text, with CRLF, CR line terminators",LaTeX document,text
"LaTeX document, ASCII text, with very long lines, with CRLF line terminators",LaTeX document,text
"LaTeX document, Non-ISO extended-ASCII text, with CRLF, CR line terminators",LaTeX document,text
LOCK File,LOCK File,database
Log File,Log File,application
Lotus 1-2-3,Lotus 1-2-3,spreadsheet
Lotus 1-2-3 fmt document data,Lotus 1-2-3,spreadsheet
Lotus 1-2-3 wk1 document data,Lotus 1-2-3,spreadsheet
Lotus 1-2-3 wk4 document data,Lotus 1-2-3,spreadsheet
Lotus 1-2-3 Worksheet,Lotus 1-2-3,spreadsheet
Lotus Approach View File,Lotus Approach View File,database
Lotus Notes Database,Lotus Notes Database,database
M2T,M2T,video
M2TS,Blu-ray,video
Macintosh PICT Image,Macintosh PICT Image,image
Macromedia Director,Macromedia Director,video
Macromedia Flash,Macromedia Flash,video
"Macromedia Flash data (compressed), version 6",Macromedia Flash,video
"Macromedia Flash data (compressed), version 7",Macromedia Flash,video
